Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PHARMACOGENET GENOM;1744-6872;2007;3.991;4.841;0.732;112;3.0;0.01221;1.478;
PHARMACOGENOMICS J;1470-269X;1531;4.398;4.769;0.792;48;4.2;0.00741;1.521;
PHARMACOGENOMICS;1462-2416;2225;3.893;3.597;0.676;142;3.0;0.01068;1.035;
PHARMACOL BIOCHEM BE;0091-3057;12333;2.967;2.655;0.414;266;>10.0;0.01865;0.723;
PHARMACOL REP;1734-1140;1100;2.086;2.224;0.267;131;3.1;0.00466;0.468;
PHARMACOL RES;1043-6618;4154;3.929;3.224;0.417;120;5.7;0.01245;0.900;
PHARMACOL REV;0031-6997;8937;17.000;22.531;1.500;18;8.9;0.01881;8.000;
PHARMACOL THERAPEUT;0163-7258;8922;8.897;9.270;1.370;100;5.9;0.02980;3.021;
PHARMACOLOGY;0031-7012;1750;1.833;1.530;0.198;96;9.0;0.00329;0.406;
PHARMACOPSYCHIATRY;0176-3679;1886;2.317;2.303;0.232;69;7.0;0.00350;0.542;
PHARMACOTHERAPY;0277-0008;4393;2.726;2.255;0.519;135;5.5;0.01385;0.656;
PHARMAZIE;0031-7144;2782;0.812;0.810;0.098;163;8.9;0.00367;0.169;
PHASE TRANSIT;0141-1594;1015;0.935;1.043;0.391;69;6.8;0.00341;0.394;
PHILIPP J VET MED;0031-7705;31;0.167;;0.000;15;;0.00003;;
PHILOS MAG;1478-6435;8233;1.273;1.354;0.276;217;>10.0;0.02216;0.666;
PHILOS SCI;0031-8248;1998;0.562;0.898;0.015;66;>10.0;0.00217;0.288;
PHILOS T R SOC A;1364-503X;9246;2.295;2.613;1.546;284;>10.0;0.02711;1.300;
PHILOS T R SOC B;0962-8436;18674;5.117;6.584;2.765;311;7.8;0.06439;3.100;
PHLEBOLOGIE;0939-978X;366;0.831;0.764;0.538;26;6.8;0.00031;0.083;
PHLEBOLOGY;0268-3555;395;1.548;0.989;0.891;46;3.7;0.00089;0.235;
PHOSPHORUS SULFUR;1042-6507;2558;0.515;0.586;0.239;117;7.8;0.00357;0.113;
PHOTOCH PHOTOBIO SCI;1474-905X;2897;2.708;2.666;0.330;200;4.4;0.01310;0.815;
PHOTOCHEM PHOTOBIOL;0031-8655;8800;2.253;2.359;0.479;188;>10.0;0.01477;0.707;
PHOTODERMATOL PHOTO;0905-4383;1085;1.604;1.742;0.149;67;6.7;0.00256;0.461;
PHOTOGRAMM ENG REM S;0099-1112;3678;1.110;1.877;0.115;96;9.9;0.00617;0.562;
PHOTOGRAMM REC;0031-868X;323;0.927;1.432;0.000;16;7.8;0.00081;0.410;
PHOTONIC NANOSTRUCT;1569-4410;254;2.131;;0.321;28;2.5;0.00215;;
PHOTONIC NETW COMMUN;1387-974X;367;0.765;0.847;0.075;67;5.2;0.00121;0.222;
PHOTONIRVACHAK-J IND;0255-660X;18;0.076;;;;;0.00008;;
PHOTOSYNTH RES;0166-8595;3888;2.303;2.467;0.296;98;8.7;0.01021;0.862;
PHOTOSYNTHETICA;0300-3604;1448;1.072;1.159;0.203;64;7.9;0.00251;0.267;
PHYCOLOGIA;0031-8884;1757;1.218;1.361;0.325;40;>10.0;0.00298;0.442;
PHYS BIOL;1478-3967;724;3.086;3.480;0.549;71;3.4;0.00704;1.725;
PHYS CHEM CHEM PHYS;1463-9076;20798;4.116;3.779;0.649;1249;4.7;0.08744;1.298;
PHYS CHEM GLASSES-B;1753-3562;1509;0.553;0.626;0.067;75;>10.0;0.00181;0.208;
PHYS CHEM LIQ;0031-9104;485;0.580;0.688;0.091;66;6.5;0.00135;0.208;
PHYS CHEM MINER;0342-1791;2702;1.597;1.664;0.519;52;>10.0;0.00524;0.705;
PHYS GEOGR;0272-3646;507;0.810;0.686;0.034;29;>10.0;0.00071;0.223;
PHYS LIFE REV;1571-0645;310;3.773;;0.750;12;3.9;0.00229;;
PHYS MED BIOL;0031-9155;14793;2.781;2.990;0.508;526;5.9;0.04485;0.887;
PHYS MED REHAB KUROR;0940-6689;112;0.333;0.328;0.094;32;5.6;0.00011;0.029;
PHYS MEDICA;1120-1797;211;1.045;0.529;0.241;29;7.1;0.00056;0.154;
PHYS PERSPECT;1422-6944;64;0.500;0.452;0.000;10;;0.00020;0.157;
PHYS STATUS SOLIDI A;1862-6300;8574;1.228;1.246;0.226;461;8.3;0.02698;0.488;
PHYS STATUS SOLIDI-R;1862-6254;555;2.560;2.565;0.596;104;2.1;0.00436;1.098;
PHYS THER SPORT;1466-853X;224;0.674;1.265;0.042;24;5.1;0.00064;0.263;
PHYS THER;0031-9023;5568;2.082;2.742;0.948;115;9.9;0.00927;0.802;
PHYSICA D;0167-2789;10957;1.568;2.174;0.567;208;>10.0;0.02373;0.965;
PHYSICA E;1386-9477;3888;1.177;0.992;0.326;350;4.6;0.02067;0.379;
PHYSICOCHEM PROBL MI;0137-1282;86;0.355;;0.125;8;;0.00026;;
PHYSIOL BEHAV;0031-9384;15367;3.295;3.339;0.436;282;9.9;0.03245;1.035;
PHYSIOL BIOCHEM ZOOL;1522-2152;1942;2.190;2.565;0.568;74;5.4;0.00811;0.921;
PHYSIOL ENTOMOL;0307-6962;1534;1.358;1.547;0.173;52;>10.0;0.00279;0.506;
PHYSIOL GENOMICS;1094-8341;3893;3.931;3.787;0.396;106;4.5;0.02049;1.369;
PHYSIOL MEAS;0967-3334;1964;1.430;1.697;0.190;126;4.9;0.00692;0.460;
PHYSIOL MOL PLANT P;0885-5765;1948;1.407;1.819;0.538;13;>10.0;0.00289;0.537;
PHYSIOL PLANTARUM;0031-9317;11627;2.708;2.693;0.728;125;>10.0;0.01531;0.798;
PHYSIOL RES;0862-8408;1809;1.430;1.690;0.226;133;5.2;0.00544;0.409;
PHYSIOL REV;0031-9333;19371;37.726;37.838;4.219;32;8.3;0.05710;15.860;
PHYSIOLOGY;1548-9213;1611;6.945;8.128;0.939;33;3.6;0.01303;3.347;
PHYSIOTHERAPY;0031-9406;738;0.773;;0.297;37;>10.0;0.00070;;
PHYTOCHEM ANALYSIS;0958-0344;1364;1.744;1.834;0.203;64;7.1;0.00285;0.438;
PHYTOCHEM LETT;1874-3900;55;0.957;0.957;0.474;19;;0.00028;0.287;
PHYTOCHEMISTRY;0031-9422;26496;3.104;3.192;0.399;243;>10.0;0.02942;0.850;
PHYTOCOENOLOGIA;0340-269X;344;0.674;1.103;0.611;18;7.3;0.00085;0.351;
PHYTOMEDICINE;0944-7113;3086;2.174;2.483;0.426;155;5.6;0.00656;0.498;
PHYTON-ANN REI BOT A;0079-2047;278;0.537;0.438;0.067;15;7.9;0.00057;0.131;
PHYTON-INT J EXP BOT;0031-9457;130;0.171;;0.000;25;>10.0;0.00009;;
PHYTOPARASITICA;0334-2123;638;0.577;0.621;0.200;60;8.3;0.00094;0.152;
PHYTOPATHOL MEDITERR;0031-9465;600;1.117;;0.186;43;8.8;0.00117;;
PHYTOPATHOLOGY;0031-949X;11784;2.223;2.618;0.358;162;>10.0;0.01565;0.873;
PHYTOPROTECTION;0031-9511;126;0.414;0.400;0.000;5;>10.0;0.00015;0.090;
PHYTOTHER RES;0951-418X;5378;1.746;2.045;0.291;299;6.5;0.00923;0.389;
PIGM CELL MELANOMA R;1755-1471;2362;4.344;4.106;0.673;55;6.1;0.00773;1.361;
PIGM RESIN TECHNOL;0369-9420;200;0.657;;0.027;37;4.2;0.00052;;
PLACENTA;0143-4004;4482;2.767;2.927;0.675;169;6.1;0.01088;0.732;
PLANT BIOLOGY;1435-8603;1883;2.223;2.582;0.476;105;5.1;0.00750;0.819;
PLANT BIOSYST;1126-3504;301;0.744;0.762;0.087;80;4.4;0.00109;0.212;
PLANT BIOTECHNOL J;1467-7644;1617;4.732;4.705;0.835;79;3.3;0.00808;1.329;
PLANT BIOTECHNOL REP;1863-5466;85;1.167;1.182;0.171;35;;0.00032;0.233;
PLANT BREEDING;0179-9541;2398;1.026;1.430;0.275;109;8.0;0.00457;0.373;
PLANT CELL ENVIRON;0140-7791;11291;5.081;5.336;0.925;146;7.6;0.02629;1.700;
PLANT CELL PHYSIOL;0032-0781;8495;3.594;3.760;0.989;186;6.9;0.02569;1.291;
PLANT CELL REP;0721-7714;5542;2.301;2.391;0.468;173;8.1;0.01020;0.568;
PLANT CELL TISS ORG;0167-6857;3564;1.271;1.389;0.218;156;9.0;0.00407;0.255;
PLANT CELL;1040-4651;31626;9.293;10.679;1.485;264;6.7;0.11980;4.532;
PLANT DIS;0191-2917;8813;2.121;2.294;0.587;167;>10.0;0.01482;0.678;
PLANT ECOL;1385-0237;3680;1.567;2.175;0.234;188;7.0;0.01003;0.698;
PLANT FOOD HUM NUTR;0921-9668;1012;2.016;2.178;0.417;48;>10.0;0.00139;0.440;
PLANT GROWTH REGUL;0167-6903;2389;1.530;1.755;0.269;93;8.4;0.00347;0.390;
PLANT J;0960-7412;25981;6.946;7.343;1.581;351;6.1;0.09733;2.829;
PLANT METHODS;1746-4811;234;2.976;;0.158;19;2.9;0.00180;;
PLANT MOL BIOL REP;0735-9640;1525;0.711;1.467;0.074;68;>10.0;0.00093;0.374;
PLANT MOL BIOL;0167-4412;12187;3.978;4.133;1.178;152;8.9;0.02672;1.434;
PLANT OMICS;1836-0661;1;0.000;0.000;0.034;29;;0.00000;0.000;
PLANT PATHOL;0032-0862;3536;2.368;2.647;0.588;114;8.1;0.00807;0.820;
PLANT PATHOLOGY J;1598-2254;224;0.744;;0.224;67;3.3;0.00079;;
PLANT PHYSIOL BIOCH;0981-9428;3556;2.485;2.724;0.520;148;6.2;0.00963;0.765;
PLANT PHYSIOL;0032-0889;52576;6.235;6.982;1.349;498;8.4;0.12321;2.378;
PLANT SCI;0168-9452;8043;2.050;2.469;0.449;187;7.2;0.01712;0.660;
PLANT SOIL;0032-079X;16763;2.517;2.799;0.563;295;>10.0;0.02394;0.781;
PLANT SPEC BIOL;0913-557X;390;0.833;;0.043;23;9.4;0.00073;;
PLANT SYST EVOL;0378-2697;3375;1.410;1.877;0.235;136;9.8;0.00765;0.673;
PLANTA DANINHA;0100-8358;837;1.204;;0.173;127;4.4;0.00059;;
PLANTA MED;0032-0943;9863;2.037;2.197;0.331;242;9.9;0.01221;0.487;
PLANTA;0032-0935;13454;3.372;3.432;0.547;214;9.3;0.02837;1.091;
PLASMA PROCESS POLYM;1612-8850;1206;4.037;3.580;0.127;267;2.8;0.00696;1.026;
PLASMID;0147-619X;1471;1.816;1.764;0.510;49;>10.0;0.00325;0.646;
PLASMONICS;1557-1955;261;3.723;3.750;0.556;36;2.5;0.00149;1.119;
PLAST ENG;0091-9578;145;0.070;0.080;0.030;33;>10.0;0.00007;0.015;
PLAST RUBBER COMPOS;1465-8011;478;0.257;0.424;0.044;68;9.5;0.00097;0.144;
PLATELETS;0953-7104;1156;2.272;2.198;0.271;85;4.0;0.00501;0.710;
PLOS BIOL;1544-9173;15699;12.916;14.798;2.692;195;3.5;0.17622;8.640;
PLOS COMPUT BIOL;1553-734X;4674;5.759;6.429;0.786;365;2.5;0.04353;3.076;
PLOS GENET;1553-7390;8883;9.532;10.000;1.655;446;2.4;0.09964;5.889;
PLOS MED;1549-1277;8425;13.050;14.023;3.468;94;3.0;0.07155;5.979;
PLOS NEGLECT TROP D;1935-2735;992;4.693;4.710;0.821;196;1.5;0.00614;1.676;
PLOS ONE;1932-6203;20466;4.351;4.383;0.582;4263;1.7;0.16359;1.921;
PLOS PATHOG;1553-7366;6527;8.978;9.705;1.705;441;2.2;0.05128;4.148;
PMM-J APPL MATH MEC+;0021-8928;1487;0.360;0.387;0.036;56;>10.0;0.00181;0.204;
POINT VET;0335-4997;133;0.114;0.086;0.039;103;6.7;0.00012;0.009;
POL J CHEM;0137-5083;1405;0.523;0.494;0.131;214;7.6;0.00244;0.109;
POL J ENVIRON STUD;1230-1485;989;0.947;1.111;0.115;148;4.8;0.00149;0.135;
POL J VET SCI;1505-1773;185;0.435;;0.082;85;4.7;0.00046;;
POLAR BIOL;0722-4060;3284;1.691;1.695;0.236;178;8.3;0.00702;0.519;
POLAR REC;0032-2474;297;0.582;0.585;0.276;29;>10.0;0.00049;0.173;
POLIMEROS;0104-1428;181;0.333;;0.020;49;4.9;0.00036;;
POLYCYCL AROMAT COMP;1040-6638;463;0.774;0.732;0.667;18;9.8;0.00072;0.190;
POLYHEDRON;0277-5387;13392;2.207;2.246;0.428;610;7.1;0.02173;0.430;
POLYM ADVAN TECHNOL;1042-7147;2793;1.532;1.883;0.178;169;5.3;0.00890;0.540;
POLYM BULL;0170-0839;2878;1.014;1.203;0.231;147;9.7;0.00474;0.299;
POLYM COMPOSITE;0272-8397;2007;1.194;1.455;0.178;214;8.6;0.00434;0.413;
POLYM DEGRAD STABIL;0141-3910;8826;2.154;2.759;0.369;255;6.3;0.02048;0.666;
POLYM ENG SCI;0032-3888;7163;1.248;1.607;0.110;290;>10.0;0.01115;0.459;
POLYM INT;0959-8103;4555;2.137;2.046;0.263;190;6.0;0.01339;0.588;
POLYM J;0032-3896;3091;1.386;1.287;0.211;171;>10.0;0.00552;0.341;
POLYM POLYM COMPOS;0967-3911;318;0.470;0.427;0.047;64;5.9;0.00090;0.117;
POLYM REV;1558-3724;422;5.612;5.618;0.429;14;2.5;0.00272;1.925;
POLYM SCI SER A+;0965-545X;1776;0.688;0.616;0.130;115;>10.0;0.00259;0.157;
POLYM SCI SER B+;1560-0904;452;0.290;0.374;0.132;53;>10.0;0.00088;0.121;
POLYM SCI SER C+;1811-2382;93;0.293;0.432;0.000;15;;0.00029;0.159;
POLYM TEST;0142-9418;2296;1.667;1.994;0.248;125;5.4;0.00739;0.546;
POLYM-KOREA;0379-153X;304;0.464;0.382;0.062;97;4.8;0.00035;0.038;
POLYM-PLAST TECHNOL;0360-2559;752;0.420;0.521;0.052;192;5.6;0.00184;0.118;
POLYMER;0032-3861;42599;3.573;3.710;0.573;769;6.9;0.10524;1.046;
POPUL HEALTH MANAG;1942-7891;12;0.529;0.529;0.075;40;;0.00006;0.173;
POSTEP DERM ALERGOL;1642-395X;16;0.051;;0.019;53;;0.00001;;
POSTEP KARDIOL INTER;1734-9338;18;0.149;;0.133;30;;0.00002;;
POSTEP MIKROBIOL;0079-4252;64;0.108;;0.000;22;;0.00002;;
POSTGRAD MED J;0032-5473;3545;1.384;1.629;0.268;97;8.3;0.00687;0.447;
POSTGRAD MED;0032-5481;1191;0.856;0.643;0.373;134;>10.0;0.00111;0.184;
POSTHARVEST BIOL TEC;0925-5214;4344;2.311;2.611;0.429;156;6.1;0.00996;0.609;
PRAKT TIERARZT;0032-681X;251;0.236;0.193;0.015;136;9.0;0.00041;0.045;
PRECIS ENG;0141-6359;1217;1.188;1.525;0.194;67;8.9;0.00273;0.551;
PREHOSP EMERG CARE;1090-3127;764;1.297;;0.176;74;5.2;0.00263;;
PRENATAL DIAG;0197-3851;4005;1.707;1.736;0.430;200;6.8;0.01018;0.500;
PREP BIOCHEM BIOTECH;1082-6068;315;0.686;0.762;0.086;35;7.9;0.00057;0.180;
PRESENCE-TELEOP VIRT;1054-7460;1272;1.241;1.645;0.120;25;8.7;0.00281;0.585;
PRESLIA;0032-7786;523;2.638;2.386;0.125;24;5.6;0.00160;0.676;
PRESSE MED;0755-4982;1922;0.416;0.410;0.292;219;>10.0;0.00225;0.078;
PREV MED;0091-7435;8975;3.172;3.537;0.626;195;7.0;0.02567;1.202;
PREV VET MED;0167-5877;3474;2.121;2.339;0.291;175;7.2;0.00719;0.586;
PRIMARY CARE COMMUN;1746-8841;31;0.325;0.378;;;;0.00019;0.110;
PRIMARY CARE;0095-4543;476;0.809;0.700;0.118;34;7.7;0.00111;0.212;
PRIMATES;0032-8332;1688;1.636;1.673;0.359;39;>10.0;0.00295;0.663;
PRION;1933-6896;91;1.414;1.414;0.360;25;;0.00078;0.645;
PROBAB ENG INFORM SC;0269-9648;483;0.676;0.966;0.118;34;8.5;0.00257;0.706;
PROBAB THEORY REL;0178-8051;1929;1.373;1.598;0.532;62;>10.0;0.01191;1.811;
PROBABILIST ENG MECH;0266-8920;1043;1.221;1.921;0.288;59;8.0;0.00436;1.033;
PROBL INFORM TRANSM+;0032-9460;531;0.393;;0.027;37;>10.0;0.00143;;
PROCESS BIOCHEM;1359-5113;9126;2.444;3.344;0.256;219;5.3;0.02271;0.716;
PROD ANIM;0990-0632;272;0.382;0.588;0.034;29;7.5;0.00046;0.134;
PROD OPER MANAG;1059-1478;1191;2.080;2.806;0.156;45;6.3;0.00533;1.273;
PROD PLAN CONTROL;0953-7287;1145;0.730;1.151;0.000;58;8.1;0.00216;0.321;
PROG BIOCHEM BIOPHYS;1000-3282;307;0.193;0.189;0.048;209;4.8;0.00068;0.036;
PROG BIOPHYS MOL BIO;0079-6107;3092;3.992;5.179;0.562;16;6.2;0.01156;1.915;
PROG BRAIN RES;0079-6123;6268;2.491;3.091;;;7.3;0.02451;1.257;
PROG CARDIOVASC DIS;0033-0620;1688;4.246;4.025;1.083;48;7.4;0.00476;1.429;
PROG CHEM;1005-281X;728;0.649;0.624;0.033;307;3.3;0.00237;0.120;
PROG CRYST GROWTH CH;0960-8974;569;9.250;3.224;0.600;5;9.9;0.00118;1.154;
PROG ELECTROMAGN RES;1559-8985;3198;3.763;;1.037;269;2.1;0.00839;;
PROG EXP TUMOR RES;0079-6263;192;0.423;0.975;;;>10.0;0.00022;0.266;
PROG HISTOCHEM CYTO;0079-6336;240;5.900;6.048;0.400;5;5.8;0.00078;1.773;
PROG INORG CHEM;0079-6379;1666;4.111;6.172;1.333;6;>10.0;0.00108;1.791;
PROG LIPID RES;0163-7827;3141;8.167;13.224;1.087;23;6.9;0.00929;4.554;
PROG MATER SCI;0079-6425;3808;15.769;18.713;3.333;24;7.2;0.01453;8.023;
PROG MOL BIOL TRANSL;0079-6603;33;0.308;0.308;2.417;12;;0.00006;0.234;
PROG NAT SCI;1002-0071;1143;0.704;0.688;0.132;228;4.2;0.00455;0.198;
PROG NEURO-PSYCHOPH;0278-5846;5185;2.823;2.891;0.430;237;4.8;0.01685;0.771;
PROG NEUROBIOL;0301-0082;9014;9.140;11.554;1.051;59;8.4;0.02274;4.353;
PROG NUCL MAG RES SP;0079-6565;1772;6.742;7.443;0.833;30;8.5;0.00516;2.819;
PROG NUCLEIC ACID RE;0079-6603;1463;2.286;5.075;;;8.9;0.00296;2.685;
PROG NUTR;1129-8723;34;0.192;;0.000;8;;0.00009;;
PROG ORG COAT;0300-9440;3153;1.669;2.029;0.299;201;6.3;0.00733;0.510;
PROG POLYM SCI;0079-6700;8841;23.753;22.331;2.558;43;6.5;0.02625;7.334;
PROG REACT KINET MEC;1468-6783;267;0.821;1.000;0.091;22;>10.0;0.00031;0.255;
PROG SOLID STATE CH;0079-6786;1489;3.060;5.339;0.000;12;9.8;0.00365;1.607;
PROG SURF SCI;0079-6816;1730;7.913;7.941;1.083;12;9.1;0.00498;3.522;
PROG UROL;1166-7087;908;0.611;0.503;0.043;207;5.0;0.00129;0.060;
PROGRAM COMPUT SOFT+;0361-7688;69;0.164;0.176;0.033;30;;0.00006;0.015;
PROGRAM-ELECTRON LIB;0033-0337;262;0.385;0.349;0.000;27;>10.0;0.00029;0.112;
PROPELL EXPLOS PYROT;0721-3115;975;0.870;1.316;0.060;67;7.2;0.00216;0.354;
PROSTAG LEUKOTR ESS;0952-3278;2470;2.530;2.361;0.000;96;6.5;0.00655;0.653;
PROSTAG OTH LIPID M;1098-8823;1360;2.557;2.294;0.368;57;7.0;0.00394;0.723;
PROSTATE CANCER P D;1365-7852;912;2.096;1.856;0.526;57;4.4;0.00369;0.569;
PROSTATE;0270-4137;6180;3.081;3.180;0.751;181;6.2;0.01769;0.946;
PROSTHET ORTHOT INT;0309-3646;452;0.563;0.730;0.161;31;10.0;0.00072;0.217;
PROTEIN ENG DES SEL;1741-0126;5079;2.596;3.008;0.614;88;>10.0;0.00923;1.126;
PROTEIN EXPRES PURIF;1046-5928;4384;1.563;1.847;0.451;182;5.3;0.01622;0.600;
PROTEIN J;1572-3887;327;1.017;1.148;0.154;52;3.5;0.00190;0.330;
PROTEIN PEPTIDE LETT;0929-8665;1262;1.755;1.438;0.303;208;2.9;0.00570;0.389;
PROTEIN SCI;0961-8368;13903;2.937;3.256;0.546;251;7.9;0.04242;1.427;
PROTEINS;0887-3585;15706;3.085;3.379;0.694;392;6.1;0.05899;1.285;
PROTEOM CLIN APPL;1862-8346;552;1.875;1.878;0.233;120;2.1;0.00267;0.460;
PROTEOME SCI;1477-5956;297;2.564;;0.167;48;3.0;0.00146;;
PROTEOMICS;1615-9853;14334;4.426;5.041;0.742;476;4.0;0.06247;1.325;
PROTIST;1434-4610;1039;3.853;3.929;0.778;36;4.5;0.00467;1.319;
PROTOPLASMA;0033-183X;2470;1.523;1.777;0.400;35;>10.0;0.00339;0.550;
PRZ GASTROENTEROL;1895-5770;19;0.103;;0.042;48;;0.00003;;
PRZ MENOPAUZALNY;1643-8876;79;0.241;;0.016;64;;0.00001;;
PRZEM CHEM;0033-2496;433;0.332;0.306;0.094;171;3.9;0.00046;0.026;
PSYCHIAT CLIN NEUROS;1323-1316;1743;1.326;1.550;0.187;107;5.9;0.00482;0.408;
PSYCHIAT DANUB;0353-5053;157;0.702;;0.096;114;2.6;0.00038;;
PSYCHIAT ENFANT;0079-726X;48;0.070;;0.000;10;;0.00001;;
PSYCHIAT GENET;0955-8829;1059;2.327;2.369;0.333;48;5.2;0.00428;0.806;
PSYCHIAT RES-NEUROIM;0925-4927;2887;3.435;4.005;0.098;133;5.5;0.01079;1.300;
PSYCHIAT RES;0165-1781;7059;2.373;2.766;0.439;239;8.6;0.01549;0.865;
PSYCHIAT SERV;1075-2730;6021;2.813;2.998;0.464;207;6.5;0.01870;1.011;
PSYCHIATR POL;0033-2674;197;0.252;;0.082;61;7.1;0.00019;;
PSYCHIATRY;0033-2747;1382;3.780;3.561;0.125;24;>10.0;0.00245;1.203;
PSYCHO-ONCOLOGIE;1778-3798;20;0.241;0.253;0.000;25;;0.00001;0.004;
PSYCHO-ONCOLOGY;1057-9249;3699;2.684;3.677;0.575;146;5.5;0.01192;1.074;
PSYCHOGERIATRICS;1346-3500;120;1.213;;0.000;23;2.7;0.00029;;
PSYCHOL BULL;0033-2909;26149;12.854;19.160;2.024;42;>10.0;0.03286;8.397;
PSYCHOL GEZONDH;1873-1791;10;0.057;;0.280;25;;0.00001;;
PSYCHOL MED;0033-2917;13045;5.012;5.456;1.154;182;8.9;0.03332;2.032;
PSYCHOL NEUROPSYCHIA;1760-1703;75;0.508;;0.033;30;;0.00017;;
PSYCHOL PSYCHOTHER-T;1476-0835;300;0.973;1.000;0.281;32;4.9;0.00095;0.258;
PSYCHOL REV;0033-295X;20106;9.082;11.582;0.650;40;>10.0;0.02257;5.534;
PSYCHOL SPORT EXERC;1469-0292;713;2.152;2.399;0.392;79;3.9;0.00273;0.615;
PSYCHOMETRIKA;0033-3123;5154;1.205;1.537;0.450;40;>10.0;0.00401;1.015;
PSYCHONEUROENDOCRINO;0306-4530;6284;4.194;4.959;0.912;170;5.8;0.01902;1.446;
PSYCHOPATHOLOGY;0254-4962;1125;1.637;1.752;0.231;52;7.0;0.00274;0.518;
PSYCHOPHARMACOLOGY;0033-3158;22332;4.103;4.263;0.688;382;8.4;0.04577;1.195;
PSYCHOPHARMAKOTHERAP;0944-6877;41;0.072;0.120;0.333;6;;0.00011;0.022;
PSYCHOPHYSIOLOGY;0048-5772;8686;3.926;4.436;0.579;140;>10.0;0.01460;1.492;
PSYCHOSOM MED;0033-3174;10073;4.236;5.155;0.500;132;7.8;0.02554;1.794;
PSYCHOSOMATICS;0033-3182;2568;1.713;2.321;0.212;85;8.2;0.00532;0.695;
PSYCHOTHER PSYCHOSOM;0033-3190;2305;5.368;4.575;0.976;41;6.6;0.00567;1.205;
PTERIDINES;0933-4807;98;0.379;0.531;0.100;10;;0.00012;0.073;
PUBLIC HEALTH GENOMI;1662-4246;52;;;1.146;41;;0.00005;;
PUBLIC HEALTH NURS;0737-1209;847;0.813;1.041;0.133;60;7.1;0.00189;0.288;
PUBLIC HEALTH NUTR;1368-9800;4617;2.749;3.401;0.545;299;5.4;0.01445;0.957;
PUBLIC HEALTH REP;0033-3549;3220;1.325;1.671;0.520;123;>10.0;0.00641;0.637;
PUBLIC HEALTH;0033-3506;1811;1.261;1.423;0.993;141;4.6;0.00641;0.443;
PULM PHARMACOL THER;1094-5539;1368;2.024;2.119;0.329;85;4.7;0.00439;0.544;
PURE APPL CHEM;0033-4545;11054;2.289;2.757;0.388;165;>10.0;0.01491;0.869;
PURE APPL MATH Q;1558-8599;100;0.415;;0.127;63;3.2;0.00409;;
PURINERG SIGNAL;1573-9538;499;2.870;;0.826;46;2.9;0.00313;;
Q APPL MATH;0033-569X;1948;0.958;0.703;0.095;42;>10.0;0.00205;0.506;
Q J EXP PSYCHOL;1747-0218;1865;2.016;2.195;0.355;172;>10.0;0.00717;0.895;
Q J MECH APPL MATH;0033-5614;1085;1.073;0.994;0.222;27;>10.0;0.00172;0.531;
Q J NUCL MED MOL IM;1824-4661;888;2.877;2.632;0.400;45;5.4;0.00238;0.629;
Q REV BIOL;0033-5770;2999;4.818;7.354;0.750;8;>10.0;0.00349;3.491;
Q REV BIOPHYS;0033-5835;2138;10.200;11.000;1.286;7;9.9;0.00697;6.838;
QJM-INT J MED;1460-2725;5035;2.627;2.973;0.656;93;>10.0;0.00799;0.953;
QSAR COMB SCI;1611-020X;1409;3.027;2.552;0.275;120;3.4;0.00545;0.602;
QUAL LIFE RES;0962-9343;5392;2.376;3.080;0.321;134;6.6;0.01542;0.942;
QUAL QUANT;0033-5177;495;0.679;0.663;0.039;77;8.3;0.00146;0.268;
QUAL RELIAB ENG INT;0748-8017;631;1.030;0.932;0.060;67;6.2;0.00235;0.349;
QUAL SAF HEALTH CARE;1475-3898;2508;2.803;4.054;1.084;95;4.9;0.01280;1.454;
QUANT FINANC;1469-7688;758;0.621;1.241;0.090;78;6.4;0.00369;0.667;
QUANTUM INF COMPUT;1533-7146;926;2.980;2.664;0.483;60;4.5;0.00734;1.562;
QUEUEING SYST;0257-0130;1279;0.660;1.103;0.065;46;>10.0;0.00435;0.826;
QUIM NOVA;0100-4042;2342;0.859;0.968;0.126;389;5.2;0.00423;0.153;
QUINTESSENCE INT;0033-6572;1790;0.635;0.946;0.106;113;9.5;0.00319;0.269;
R&D MAG;0746-9179;21;0.036;0.030;0.000;19;;0.00005;0.007;
RADIAT ENVIRON BIOPH;0301-634X;936;1.635;1.644;0.614;44;8.2;0.00240;0.535;
RADIAT ONCOL;****-****;358;2.529;2.515;0.229;70;2.6;0.00170;0.619;
RADIAT PHYS CHEM;0969-806X;4241;1.149;1.109;0.144;270;7.5;0.00970;0.325;
RADIAT PROT DOSIM;0144-8420;3645;0.707;0.754;0.061;196;6.7;0.01256;0.272;
RADIAT RES;0033-7587;7996;2.948;2.985;0.350;163;9.0;0.01535;0.903;
RADIO SCI;0048-6604;3371;1.012;1.165;0.210;124;>10.0;0.00638;0.512;
RADIOCHIM ACTA;0033-8230;2270;1.459;1.333;0.164;110;8.5;0.00475;0.389;
RADIOGRAPHICS;0271-5333;6723;2.747;3.859;0.408;142;7.3;0.01474;1.062;
RADIOL CLIN N AM;0033-8389;2143;2.025;2.165;0.284;67;9.2;0.00363;0.600;
RADIOL MED;0033-8362;1028;1.454;;0.077;104;4.7;0.00337;;
RADIOLOGE;0033-832X;791;0.481;0.607;0.062;97;7.2;0.00134;0.121;
RADIOLOGY;0033-8419;46643;6.341;6.669;0.910;379;9.7;0.08760;2.034;
